region_id,geo_x,geo_y,area_km2,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,dfsar_valid,dfsar_cpr_class,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,minirf_valid,radar_flag
15212,35937.04980079681,-7588.743027888449,0.156875,0.280715,0.269941,0.048252,1.0,1.0,True,normal_low,0.040683,0.040132,0.005753,1.0,1.0,True,BOTH
15213,40631.08914728682,-7746.980620155031,0.3225,0.190668,0.191957,0.027637,1.0,1.0,True,normal_low,0.064446,0.058986,0.015467,1.0,1.0,True,BOTH
15216,-43002.594717668486,-7453.689435336979,0.68625,0.235729,0.215974,0.081309,1.0,1.0,True,normal_low,0.00778,0.007828,0.000878,0.424408,0.424408,True,BOTH
15261,34206.96492985972,-7554.493319973277,0.935625,0.249625,0.226926,0.084856,0.669339,0.669339,True,normal_low,0.065297,0.064178,0.017795,1.0,1.0,True,BOTH
15278,32434.403518728723,-7803.586265607257,0.550625,0.25549,0.253103,0.04664,1.0,1.0,True,normal_low,0.052917,0.050426,0.01446,1.0,1.0,True,BOTH
15285,25383.70082911101,-7324.3502994012015,1.356875,0.419017,0.406373,0.1086,1.0,1.0,True,normal_low,0.034299,0.030879,0.011824,1.0,1.0,True,BOTH
15324,6621.708737864079,-7673.205501618118,0.38625,,,,0.0,0.0,False,no_data,0.013259,0.012892,0.002002,1.0,1.0,True,S1_ONLY
15326,-42963.25684931507,-7863.969178082196,0.1825,0.191246,0.18486,0.033324,1.0,1.0,True,normal_low,0.00737,0.007367,0.000652,0.342466,0.342466,True,BOTH
15357,34791.39330543933,-8022.041841004182,0.29875,0.378751,0.383956,0.102199,1.0,1.0,True,normal_low,0.059537,0.056776,0.01607,1.0,1.0,True,BOTH
15378,28185.01181102362,-7387.364173228343,1.5875,0.30659,0.300224,0.060164,1.0,1.0,True,normal_low,0.048228,0.040554,0.027423,1.0,1.0,True,BOTH
15393,31835.6780455154,-7849.935073627843,0.466875,0.23987,0.237995,0.036899,1.0,1.0,True,normal_low,0.05547,0.054371,0.01041,1.0,1.0,True,BOTH
15474,29160.21428571429,-8096.523809523809,0.1575,0.273597,0.267877,0.039207,0.384921,0.384921,True,normal_low,0.02731,0.026917,0.004331,1.0,1.0,True,BOTH
15491,25389.340182648404,-8123.929223744286,0.136875,0.350203,0.341339,0.088294,1.0,1.0,True,normal_low,0.00848,0.00292,0.008474,0.593607,0.593607,True,BOTH
15494,36664.41416309013,-8163.627324749643,0.436875,0.236216,0.235489,0.038101,1.0,1.0,True,normal_low,0.053498,0.053054,0.011358,1.0,1.0,True,BOTH
15527,24975.636363636368,-8232.265151515152,0.165,0.398781,0.385161,0.086725,1.0,1.0,True,normal_low,0.002953,0.002878,0.000569,0.901515,0.901515,True,BOTH
15536,32529.25460122699,-8466.064417177913,0.101875,0.242815,0.227906,0.056144,1.0,1.0,True,normal_low,0.055781,0.056223,0.008465,1.0,1.0,True,BOTH
15544,29384.40415335464,-8331.20926517572,0.195625,,,,0.0,0.0,False,no_data,0.025498,0.024919,0.004931,1.0,1.0,True,S1_ONLY
15548,-42871.82218148487,-8135.395967002747,1.36375,0.275029,0.229093,0.128611,1.0,1.0,True,normal_low,0.008534,0.008339,0.00162,0.46242,0.46242,True,BOTH
15562,35344.50610252237,-8567.522782750202,3.0725,0.487973,0.439787,0.263493,1.0,1.0,True,normal_low,0.100572,0.070623,0.158531,1.0,1.0,True,BOTH
15570,26871.510869565216,-8358.467391304352,0.115,0.296904,0.290533,0.0544,1.0,1.0,True,normal_low,0.020659,0.020383,0.003348,1.0,1.0,True,BOTH
15595,29807.59557774608,-8785.840941512128,0.438125,,,,0.0,0.0,False,no_data,0.028202,0.023486,0.011825,1.0,1.0,True,S1_ONLY
15599,-42299.64611005693,-8514.893738140418,0.65875,0.252966,0.20787,0.116573,1.0,1.0,True,normal_low,0.007448,0.007259,0.000596,0.063567,0.063567,False,CPR_ONLY
15625,25657.231958762888,-8471.235395189004,0.181875,0.463427,0.464803,0.092679,1.0,1.0,True,normal_low,0.006233,0.005517,0.004724,0.924399,0.924399,True,BOTH
15641,34864.29750778816,-8593.736760124615,0.200625,0.663331,0.651825,0.149976,1.0,1.0,True,typical,0.08497,0.077512,0.021316,1.0,1.0,True,BOTH
15647,30533.153846153844,-8681.780219780216,0.11375,0.245062,0.248295,0.043072,0.598901,0.598901,True,normal_low,0.045485,0.045942,0.011178,1.0,1.0,True,BOTH
15648,36919.142857142855,-8702.838509316767,0.20125,0.209394,0.210544,0.036738,1.0,1.0,True,normal_low,0.060511,0.056578,0.015804,1.0,1.0,True,BOTH
15654,-22012.903846153848,-8675.461538461539,0.1625,0.324651,0.325645,0.054535,0.430769,0.430769,True,normal_low,0.025474,0.025705,0.002612,1.0,1.0,True,BOTH
15678,-43204.90298507463,-8809.5,0.209375,0.23153,0.210184,0.066841,1.0,1.0,True,normal_low,0.008581,0.008636,0.000902,0.99403,0.99403,True,BOTH
15693,36589.27272727272,-8747.037878787873,0.0825,0.204281,0.203947,0.031233,1.0,1.0,True,normal_low,0.070007,0.067856,0.012226,1.0,1.0,True,BOTH
15701,24958.875,-8757.108695652176,0.115,0.298722,0.283216,0.067263,1.0,1.0,True,normal_low,0.007898,0.007765,0.001561,1.0,1.0,True,BOTH
