region_id,area_km2,geo_x,geo_y,m3_valid_pct,BD1000,BD2000,OH_SPECTRAL_INDICATOR,ICE_SPECTRAL_INDICATOR,BD1000_norm,BD2000_norm,OH_SPECTRAL_INDICATOR_norm,ICE_SPECTRAL_INDICATOR_norm,n_valid_m3_indices,Science_Score
9064,0.13875,30623.37387387388,10721.108108108108,1.0,,1.612824,,,,0.22855,,,1,0.04571
9067,1.1725,-42560.694562899786,11115.758528784643,1.0,-0.766484,0.264964,1.306831,,0.0,0.037547,0.133121,,3,0.04079
9108,0.145,-6835.629310344826,10846.728448275862,1.0,0.758352,0.408194,0.261724,-1.152918,0.053172,0.057844,0.026661,0.0,4,0.028868
9112,0.72,24478.731770833343,10880.643229166672,1.0,0.030739,0.055596,0.089302,-0.00189,0.002155,0.007878,0.009097,0.0,4,0.004281
9130,0.23625,3506.3121693121648,10640.513227513227,1.0,0.298683,-0.172424,0.659117,0.950419,0.020942,0.0,0.067141,0.042814,4,0.035959
9134,1.311875,38616.05550262029,10987.505717008098,0.9571,,0.620291,0.956522,,,0.0879,0.097436,,2,0.041939
9135,0.08625,43532.47101449275,10689.992753623184,1.0,,,9.171806,,,,0.934288,,1,0.233572
9145,0.27,-3156.692129629628,10863.347222222226,1.0,0.787671,0.606597,0.201609,1.832905,0.055227,0.08596,0.020537,0.082567,4,0.06227
9148,1.521875,17288.760780287477,10708.898357289523,1.0,-0.81951,0.687519,,,0.0,0.097427,,,2,0.019485
9150,0.1225,25090.0612244898,10720.90816326531,1.0,,,,,,,,,0,0.0
9153,0.158125,-43399.41304347826,10776.092885375496,1.0,-0.079681,0.097406,2.157671,,0.0,0.013803,0.219792,,3,0.057709
9162,0.159375,26946.36274509804,10808.147058823532,1.0,0.648995,,5.722474,,0.045504,,0.582921,,2,0.154831
9174,0.12125,20267.02577319587,10695.345360824744,1.0,,1.036578,,,,0.146891,,,1,0.029378
9221,1.719375,18487.849691021445,10043.756997455472,0.9916,0.893786,2.732548,,,0.062667,0.387223,,,2,0.089978
9224,0.36125,27679.3875432526,10745.828719723184,1.0,-0.123837,0.201478,0.015917,-0.055505,0.0,0.028551,0.001621,0.0,4,0.006115
9227,1.16625,-42319.95337620579,10304.31832797428,1.0,0.023764,-1.354839,1.494092,-5.513356,0.001666,0.0,0.152196,0.0,4,0.038382
9247,0.1875,18282.833333333336,10629.083333333336,1.0,2.533566,3.33015,,,0.17764,0.471908,,,2,0.12991
9250,0.276875,-41079.33747178329,10361.335214446954,1.0,-0.019182,-0.519961,1.812563,-4.014639,0.0,0.0,0.184637,0.0,4,0.046159
9279,1.100625,3056.513060760932,10130.539750141965,1.0,-0.605255,0.149044,0.389598,0.542573,0.0,0.021121,0.039686,0.024441,4,0.0227
9280,0.319375,20514.91095890412,10229.364970645796,1.0,-0.138441,2.72033,,,0.0,0.385492,,,2,0.077098
9300,0.545,28449.95871559633,10348.8371559633,1.0,,1.391458,1.698795,,,0.19718,0.173048,,2,0.082698
9306,0.16125,29326.34108527132,10393.232558139534,1.0,3.326067,1.159404,0.789342,,0.233206,0.164297,0.080407,,3,0.099602
9326,0.21375,36392.40935672514,10423.087719298244,1.0,,,6.467306,,,,0.658794,,1,0.164698
9350,0.170625,-32405.35347985348,10160.206959706964,1.0,-0.201925,-0.061924,-0.051155,-0.100165,0.0,0.0,0.0,0.0,4,0.0
9358,0.09,-31270.465277777777,10397.375,1.0,0.385818,-0.616088,0.303202,0.696368,0.027051,0.0,0.030886,0.03137,4,0.024111
9375,0.31125,19827.56224899598,10276.202811244975,1.0,0.520956,1.845788,,,0.036527,0.261563,,,2,0.059618
9378,0.339375,31217.087476979752,10320.15930018416,1.0,,1.265721,3.109312,,,0.179363,0.316731,,2,0.115055
9433,0.218125,-40985.52865329513,9998.136103151868,1.0,0.400588,-0.377788,0.981911,0.633299,0.028087,0.0,0.100023,0.028528,4,0.040608
9441,0.9525,30184.26049868765,9585.063648293966,1.0,0.609881,,5.05,,0.042762,,0.51442,,2,0.137157
9453,0.2125,27696.41176470589,10106.08823529412,1.0,,1.382622,1.880121,,,0.195928,0.191519,,2,0.087065
9467,0.123125,36047.3426395939,10034.383248730965,1.0,,,5.132605,,,,0.522834,,1,0.130708
