region_id,area_km2,geo_x,geo_y,shadow_fraction,shadow_std,shadow_valid_px
196,0.0025,-3419.25,43350.5,1.0,0.0,4.0
197,0.00375,9845.333333333336,43346.333333333336,0.0,0.0,6.0
198,12.63125,5866.080900544286,42231.55393369619,0.1783,0.3614,20210.0
199,0.00625,-4800.5,43320.5,1.0,0.0,10.0
200,0.01125,-1599.1111111111095,43254.666666666664,0.0,0.0,18.0
201,0.00125,11374.5,43288.0,0.0,0.0,2.0
202,3.53375,-7375.584011319421,43849.686416696146,0.6343,0.4453,5550.0
203,0.005,-10938.0,43250.5,0.415,0.4073,8.0
204,0.019375,-845.661290322576,43279.532258064515,0.5923,0.4408,31.0
205,0.479375,-2315.4934810951745,43114.0593220339,0.6438,0.4595,767.0
206,0.00375,2820.3333333333285,43229.666666666664,0.0,0.0,6.0
207,0.000625,5999.5,43225.5,0.96,,1.0
208,0.001875,-2333.8333333333285,43192.166666666664,1.0,0.0,3.0
209,0.001875,4366.1666666666715,43208.833333333336,0.0,0.0,3.0
210,0.184375,10133.228813559319,43277.36440677966,0.0507,0.2047,295.0
211,0.004375,-9393.357142857145,43175.5,0.8514,0.2788,7.0
212,0.013125,-10194.547619047618,43158.833333333336,0.059,0.1638,21.0
213,0.005,-9628.625,43147.375,0.0,0.0,8.0
214,0.02375,-8886.026315789473,43111.68421052631,0.8221,0.3401,38.0
215,0.001875,11624.5,43150.5,0.0,0.0,3.0
216,0.019375,-8323.080645161295,43148.08064516129,0.5135,0.4376,31.0
217,0.00125,-2113.0,43125.5,0.82,0.2546,2.0
218,0.000625,11874.5,43125.5,0.6,,1.0
219,0.003125,13924.5,43125.5,0.36,0.4109,5.0
220,0.0075,-8008.8333333333285,43083.833333333336,0.97,0.1039,12.0
221,0.004375,-193.35714285714494,43111.21428571428,0.0,0.0,7.0
222,0.005,8062.0,43075.5,0.31,0.3877,8.0
223,0.00125,-4363.0,43075.5,1.0,0.0,2.0
224,0.005625,-2767.1666666666715,43072.72222222222,1.0,0.0,9.0
225,0.020625,8482.833333333336,43042.166666666664,0.1164,0.2585,33.0
226,0.003125,-6275.5,43050.5,0.048,0.1073,5.0
227,0.003125,-5250.5,43050.5,1.0,0.0,5.0
228,0.0075,4062.0,43063.0,0.0667,0.1621,12.0
229,0.005,6824.5,43038.0,0.0,0.0,8.0
230,0.001875,8782.833333333336,43042.166666666664,0.5067,0.4496,3.0
231,0.004375,12574.5,43050.5,0.0,0.0,7.0
232,0.000625,13124.5,43050.5,0.28,,1.0
233,0.00375,14270.333333333336,43046.333333333336,0.0,0.0,6.0
234,0.01125,-6933.8333333333285,43001.88888888889,0.5089,0.4093,18.0
235,0.010625,-3079.911764705881,43037.26470588235,1.0,0.0,17.0
236,0.003125,-1375.5,43025.5,0.0,0.0,5.0
237,0.005,5787.0,43025.5,0.88,0.1586,8.0
238,0.005,-11559.875,43006.75,0.14,0.2006,8.0
239,0.001875,-6667.1666666666715,42992.166666666664,0.0,0.0,3.0
240,0.00125,-9425.5,42988.0,0.46,0.6505,2.0
