region_id,geo_x,geo_y,area_km2,dist_from_centre_km,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,shadow_fraction,shadow_std,dfsar_valid_pct,minirf_valid_pct,qualification_status
6505,15348.337209302328,17552.825581395347,0.16125,23.3168,7.531,4.4716,21.2421,5.9118,2.3692,-1906.2257,1.0,1.0,0.0,1.0,1.0,QUALIFIED
6541,26895.63289760349,17495.053376906315,0.286875,32.0852,10.0809,4.9613,26.7256,8.5036,3.5994,-1822.3414,1.0,0.8186,0.3389,1.0,0.0,QUALIFIED
6551,-19112.778106508875,17257.156804733728,0.105625,25.7502,5.1629,1.5506,10.5497,4.9083,0.7186,-2831.9539,1.0,1.0,0.0,1.0,0.0,QUALIFIED
6555,19056.318181818184,17149.834811529934,0.845625,25.6371,5.8944,2.7484,18.5037,5.0104,1.8538,-2032.3625,1.0,0.9953,0.0548,1.0,1.0,QUALIFIED
6566,-5857.095092024538,17322.815950920245,0.20375,18.2856,5.3363,2.054,11.804,4.643,1.2958,-2073.7502,1.0,0.0308,0.1299,1.0,0.0,QUALIFIED
6576,14326.141414141406,17285.474747474746,0.12375,22.4505,4.0093,1.9654,12.2779,3.3779,1.2097,-1906.6339,1.0,1.0,0.0,1.0,0.545455,QUALIFIED
6577,17269.015011547344,17627.69399538106,0.54125,24.677,5.9795,2.6244,17.8461,4.9235,2.021,-1916.1373,1.0,1.0,0.0,1.0,1.0,QUALIFIED
6592,15223.040145985397,17090.13503649635,0.428125,22.8869,5.7599,2.493,17.2194,4.6376,1.7665,-1913.86,1.0,1.0,0.0,1.0,0.508029,QUALIFIED
6595,22055.02325581396,17464.162790697676,0.5375,28.1323,5.5185,4.5131,29.2498,4.6992,3.6477,-2019.5581,1.0,1.0,0.0,0.87907,1.0,QUALIFIED
6615,20859.53703703704,17205.01851851852,0.421875,27.0395,7.4109,3.1692,17.2249,6.3205,2.315,-1945.6615,1.0,0.8439,0.3319,1.0,1.0,QUALIFIED
6629,15709.0703125,17141.90625,0.08,23.2512,5.1424,2.7011,12.8073,3.9645,1.3382,-1890.7375,1.0,0.9891,0.0916,1.0,1.0,QUALIFIED
6630,22942.50341296928,17193.418088737202,0.183125,28.6702,4.4328,1.813,11.5887,3.6677,0.9034,-2046.7076,1.0,1.0,0.0,1.0,1.0,QUALIFIED
6631,23382.13473053892,17073.70359281437,0.104375,28.9524,5.813,1.8136,14.3168,5.1226,1.2821,-2061.0505,1.0,1.0,0.0,1.0,0.335329,QUALIFIED
6644,19066.791666666664,16848.104166666668,0.15,25.4441,10.6319,3.7785,19.7095,8.2821,2.1426,-2050.4847,1.0,1.0,0.0,1.0,1.0,QUALIFIED
6659,25028.73151750973,16956.96887159533,0.32125,30.2322,7.4923,4.3588,23.4141,5.9306,2.4427,-2083.2132,1.0,1.0,0.0,1.0,0.0,QUALIFIED
6668,13939.461013645225,17299.817738791422,2.244375,22.2169,7.0568,3.4103,27.9047,5.6585,2.1577,-1907.4495,1.0,0.8973,0.2636,1.0,0.440824,QUALIFIED
6670,18712.56451612903,17259.532258064515,0.096875,25.4569,3.8008,2.0204,9.5891,3.0076,1.0892,-2055.7388,1.0,1.0,0.0,1.0,1.0,QUALIFIED
6675,-18968.74294038548,17070.603092783505,1.394375,25.5183,7.6535,3.3024,21.8295,6.4082,2.1874,-2805.443,1.0,0.9988,0.0296,1.0,0.103093,QUALIFIED
6676,-7920.619047619053,16908.11904761905,0.13125,18.6707,6.4302,2.3274,12.9479,5.6388,2.0807,-2157.4206,1.0,0.0933,0.2366,1.0,0.0,QUALIFIED
6688,-10573.768261964731,16878.018891687658,0.49625,19.9159,8.2395,3.9175,29.079,6.5966,2.3479,-2284.8328,1.0,0.8598,0.334,1.0,0.0,QUALIFIED
6709,-6928.54054054054,16849.317567567567,0.0925,18.2176,7.2383,4.4012,21.6973,5.6114,1.884,-2129.3668,1.0,0.1722,0.3315,1.0,0.0,QUALIFIED
6728,24243.679894179902,17039.12433862434,0.118125,29.6327,4.2764,2.2079,10.3319,3.8618,1.9273,-2099.4874,1.0,1.0,0.0,1.0,0.0,QUALIFIED
6736,15019.675438596496,16735.441520467833,0.106875,22.487,4.0512,1.9275,9.073,3.1931,1.0173,-1935.5289,1.0,1.0,0.0,1.0,0.0,QUALIFIED
6746,19482.530726256984,16789.256983240222,0.22375,25.7187,3.4917,2.0693,12.9886,2.8939,1.3425,-2032.2931,1.0,0.9944,0.0537,1.0,1.0,QUALIFIED
6752,24772.030864197528,16692.413580246917,0.253125,29.8714,7.173,4.3585,29.5733,5.8009,2.4737,-2084.2281,1.0,1.0,0.0,1.0,0.0,QUALIFIED
6765,21764.39547038327,16826.458188153312,0.179375,27.5104,6.2678,2.0761,10.9683,5.4792,1.4122,-2015.9955,1.0,0.9752,0.1326,1.0,1.0,QUALIFIED
6768,-12026.304776739358,16122.8779854621,0.601875,20.1135,8.5464,3.9438,25.0717,7.5731,3.0974,-2054.993,1.0,0.0336,0.1458,0.169263,0.0,QUALIFIED
6786,22255.627982646416,16550.337310195227,0.288125,27.735,6.8792,2.9192,14.2296,5.6169,1.9733,-2061.3884,1.0,1.0,0.0,1.0,1.0,QUALIFIED
6829,23560.08333333333,16487.5,0.1875,28.7563,3.7931,1.9552,9.5011,2.8765,1.0497,-2073.7104,1.0,1.0,0.0,1.0,0.0,QUALIFIED
6837,-10951.170498084291,16461.89846743295,0.163125,19.7711,8.2695,3.6784,17.103,7.24,2.6369,-2255.5402,1.0,0.9261,0.2309,0.996169,0.0,QUALIFIED
6839,13555.681015452536,16343.987858719647,0.283125,21.2339,5.1351,2.3915,12.1572,4.5326,1.7606,-1882.5522,1.0,0.9276,0.2216,1.0,0.0,QUALIFIED
6854,19054.03367875648,16447.779792746114,0.120625,25.1712,3.9607,2.5556,15.7425,3.4295,1.4675,-2031.0392,1.0,0.9903,0.0607,1.0,1.0,QUALIFIED
6860,-6828.96598202824,16585.737483953784,0.486875,17.9359,5.861,4.4037,21.3409,4.8815,2.7316,-2116.5985,1.0,0.1474,0.311,1.0,0.0,QUALIFIED
6863,2650.743093922654,16572.737569060773,0.113125,16.783,7.2283,3.2147,16.016,5.7354,1.5088,-868.0239,1.0,0.8281,0.3374,1.0,0.0,QUALIFIED
6866,7838.315789473687,16420.894736842103,0.095,18.1955,6.5564,2.277,13.2651,5.7844,1.4332,-1137.4555,1.0,0.0961,0.2466,1.0,0.0,QUALIFIED
6870,22656.921875,16238.234375000004,0.2,27.8751,4.4016,1.9329,10.7787,3.4604,0.7681,-2076.4396,1.0,1.0,0.0,1.0,1.0,QUALIFIED
6875,20990.06420233463,16680.94747081712,0.32125,26.8112,9.5626,2.9727,26.0058,7.9744,1.679,-1976.0351,1.0,0.8391,0.3418,1.0,1.0,QUALIFIED
6876,23125.190184049075,16485.085889570553,0.20375,28.3996,3.4591,1.5901,9.567,2.6096,0.8826,-2080.5618,1.0,1.0,0.0,1.0,0.555215,QUALIFIED
